,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,continent,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0,0,25.0,13.0,"kabul, zoroastrian, afghanistan",dari1,dari,female,56,afghanistan,False,asia,0.3958082,0.09918657,2349.672734086545,2543030.4573555365,2153.265204293157,315731.308411883,4266.331148873731,5648130.998828865,0.1407010099407783,0.0260109300386862,5.0459703e-06,0.0012995374,[123.046875],-285.48398,7310.061,102.080376,2813.6365,-8.661778,834.6118,22.911522,507.77878,4.962829,205.78659,2.540393,267.56586,2.0728214,102.71093,3.0493922,65.95401,-1.9018453,110.791214,1.411977,85.49991,-10.611569,78.71279,3.0900965,54.84592,-6.9422393,48.30042,1.4117954,54.19736,-4.9046493,42.35371,0.24722908,75.13005,-4.167605,33.49099,-0.28534505,32.338734,-11.342997,55.323753,1.9624709,39.587837
1,1,55.0,12.0,"kabul, afghanistan",dari2,dari,male,642,afghanistan,False,asia,0.4421233,0.09093345,1722.048596823263,955380.0090322392,1724.5723462066865,196082.1925816032,3503.356178729979,2932919.4649305297,0.0961625718140668,0.0092012758361781,-2.6186035e-07,0.00071949355,[123.046875],-347.40808,4648.245,112.02023,1731.5728,5.640123,535.3631,38.891163,549.6434,2.319644,395.6478,9.11345,215.59697,-15.594949,243.18689,-1.9875911,152.21945,-5.135031,123.6352,-7.692649,134.27274,-0.97300464,94.832054,-4.0198116,78.172874,0.06675128,57.327446,-1.4830443,79.15627,-1.0939339,80.074745,-5.3327193,64.85686,2.5087643,60.01227,-5.9089494,78.09187,-1.2013656,49.352577,-0.5258412,35.66076
2,2,20.0,12.0,"kabul, afghanistan",dari3,dari,male,968,afghanistan,False,asia,0.39234942,0.099691726,1883.1036850921523,1606818.7029947408,1551.8041118566205,282726.971006708,3417.353606287301,3825086.1917684735,0.1398582559681697,0.0155732632024437,-1.7694513e-06,0.00077642215,[112.34714674],-337.91312,6396.273,113.0244,3488.8276,-8.891905,558.5821,34.835365,870.19635,-14.414159,560.168,-7.8203487,497.8089,-8.827868,271.06003,-12.7540245,148.34018,-24.261967,239.1129,-12.890572,146.37953,-4.1539903,116.88015,-1.3479084,88.65592,-1.7986797,83.7884,-11.794092,88.3642,0.5683638,61.95275,-9.273693,58.257397,-7.0748415,61.75666,-2.7776673,39.036983,-3.972538,34.22072,-3.8877325,36.947342
3,3,59.0,13.0,"kabul, afghanistan",dari4,dari,male,1754,afghanistan,False,asia,0.39424965,0.09303626,1544.654690909753,763841.9077441893,1542.08498684112,182322.6522572105,2908.985397751267,2556364.615113108,0.0941923124296171,0.0069564043212445,-4.6828225e-07,0.0006944084,[112.34714674],-356.49255,6642.484,121.340935,1955.1274,0.16648702,632.14496,15.7761755,786.3641,-3.5097916,303.14853,2.9519205,172.64389,-21.8645,535.86304,0.97951525,172.59279,6.4359727,127.740685,-7.6360483,223.07458,0.46000046,114.53687,-5.8007855,80.68157,-9.768084,67.1334,-12.455168,92.88432,-6.289143,67.454636,-3.235566,61.540356,-2.3463414,69.469604,0.23156497,62.569397,-1.2530701,49.398037,-5.1250353,54.07969
4,4,56.0,32.0,"kabul, afghanistan",dari5,dari,female,1868,afghanistan,False,asia,0.33925325,0.11055573,2912.256220291591,3128470.126877218,2419.698026896576,346910.7008508277,5305.476324768795,6983620.55008859,0.1756250932279236,0.0285478266889656,-1.4397588e-06,0.0002956118,[112.34714674],-415.27225,6059.251,70.09997,2660.504,6.182063,1094.2876,17.124569,1064.7073,-12.051717,274.02512,-15.757421,405.75986,-1.3454849,278.86154,-5.1417236,211.46288,-14.242076,143.16553,-4.463702,100.6592,-19.416515,76.87105,-6.3767204,76.021164,-13.894677,87.31663,-1.6703861,60.56491,-15.345864,63.96614,-11.655771,50.618343,-12.228753,40.76528,0.42222053,52.31194,-18.457218,55.17858,-7.201978,41.36319
5,5,32.0,4.0,"kabul, afghanistan",farsi11,farsi,female,1015,afghanistan,False,asia,0.37552842,0.10281823,1499.669528447724,756449.1803641728,1535.426718973986,227056.69642263773,2968.4630964475896,2674820.92794719,0.0841577914798206,0.0058268177900287,-1.219892e-08,0.0028950647,[112.34714674],-291.9547,3569.0386,129.42192,1419.7527,-7.1384006,610.2531,44.08302,770.7797,-2.672574,335.38593,6.9481378,408.85672,-12.209053,292.61978,-5.6665134,230.56885,-6.4228883,170.52782,-4.496303,120.89779,-3.9081419,61.64244,-8.526536,66.85999,-5.4018955,70.18519,-12.426025,81.991745,-2.6749773,47.907475,-9.355733,44.98008,-0.0045243474,50.220642,-1.0577588,63.271904,-4.522762,38.439793,-1.4936042,36.018406
6,6,48.0,19.0,"mazare sharif, afghanistan",farsi20,farsi,female,1993,afghanistan,False,asia,0.35046285,0.10951723,2514.462820513313,2924428.150232219,2167.675823494264,342780.96266726323,4503.843458592362,7202944.710841015,0.163322706205595,0.023970574986096,-5.407532e-07,0.00061845395,[129.19921875],-353.80255,4310.934,84.67866,3431.166,10.0184355,649.56793,5.337357,535.45593,-18.905289,254.535,-0.99367803,285.31155,-18.948126,187.571,-10.748464,146.59781,-10.769362,113.707405,-4.2393684,111.95166,-12.672704,67.50154,-3.8200514,64.49276,-9.200408,70.051926,-2.760907,59.449337,-15.197825,52.725403,-5.99243,47.321056,-10.082095,37.384193,-8.39341,38.267944,-11.837358,37.145397,-7.404104,34.54481
7,7,20.0,5.0,"kabul, afghanistan",farsi21,farsi,male,2025,afghanistan,False,asia,0.3647885,0.09825406,2251.0333654109,1979475.7567612005,1914.336708297526,367252.1009073058,3950.8875260141385,5147678.42405699,0.1398946427391649,0.014217398505152,-4.4177582e-07,0.001266753,[135.99917763],-286.27155,7794.753,100.54932,4152.9336,-19.36272,972.74194,7.1511483,517.5234,0.80994207,681.4417,11.424398,385.08847,-25.140247,327.2221,-16.361795,160.76036,-20.42792,190.80205,-9.395272,99.37941,-10.770669,108.82473,-6.9984584,121.78336,-13.975171,103.3784,-7.624495,85.34157,-2.1504915,72.652504,-9.329165,73.012085,-12.326117,73.413666,3.1592155,83.45907,-10.499782,59.806362,-5.6862445,43.775738
8,8,47.0,12.0,"kabul, kandahar, afghanistan",pashto1,pashto,female,696,afghanistan,False,asia,0.37242642,0.10357005,1625.110559558085,1492843.6254198763,1475.8479974525724,380393.9552279811,2973.1096698113206,4001006.235943365,0.1049907871462264,0.0108447059430359,1.2933523e-07,0.0013186507,[135.99917763],-354.8002,6751.3843,126.28858,3115.6233,-5.323159,804.2858,6.4555564,765.8315,1.4682311,308.65933,-15.631773,435.5583,-38.075417,467.2751,1.5847208,218.5312,-12.786129,156.06604,-13.87858,115.06198,-8.6566925,59.69124,-8.505434,71.417885,-7.9821196,81.73831,-10.911278,64.87369,-4.3813725,65.51631,-17.408216,103.60386,-1.4621636,56.684044,-8.002032,47.260113,-11.362347,85.69033,-1.9446367,49.989464
9,9,26.0,26.0,"kabul, kandahar, afghanistan",pashto2,pashto,female,792,afghanistan,False,asia,0.36349466,0.11007377,1842.734280630628,1020414.4782706056,1563.688449446328,229978.20901889543,3471.393774057442,2934809.068045234,0.114436315633636,0.0091680847396588,2.79084e-07,0.0024293645,[112.34714674],-342.32782,8879.98,95.995865,2100.9717,-24.903347,1410.1179,31.468796,954.135,-10.331687,477.20706,-4.1200237,461.9252,-11.013523,294.06418,-16.463945,314.28204,-0.7582114,178.58606,-0.71522593,211.06723,-3.6487274,98.85303,-11.614008,87.4243,-13.140515,169.9437,-6.1048923,77.09567,-5.9350305,70.9304,-8.175489,72.42929,-4.0762086,53.489502,-10.274532,57.028942,-5.1580644,50.3084,-4.6795826,51.28538
